"enhancer","triplet_pairs","cum_abs_estimate_out","cum_abs_estimate_in","n_regulating_TFs","n_regulated_genes","n_regulated_promoters","source_measurement_types","is_expressed","is_mediating","cum_abs_estimate_total","pareto","label"
"chr2_181641811_181642705",16,0.823307836545023,1.27742938348978,4,4,4,"aCRE",FALSE,TRUE,2.1007372200348,FALSE,""
"chr2_219565238_219566150",16,2.3769875465096,1.04781072505839,2,7,8,"aCRE,tCRE",TRUE,TRUE,3.42479827156799,FALSE,""
"chr2_71153584_71154402",16,1.35335137315211,2.20616445476106,4,4,4,"aCRE",TRUE,TRUE,3.55951582791318,FALSE,""
"chr3_115385648_115386902",16,0.94111134892175,1.34697313450454,4,4,4,"aCRE",TRUE,TRUE,2.28808448342629,FALSE,""
"chr4_117971110_117972022",16,0.57620357365643,2.98622701500843,8,2,2,"tCRE",TRUE,TRUE,3.56243058866486,FALSE,""
"chr5_302308_303062",16,1.24024392306807,1.20380175382276,4,4,4,"aCRE,tCRE",TRUE,TRUE,2.44404567689083,FALSE,""
"chr7_100226192_100227281",16,1.56394420971513,0.634238761186176,2,7,8,"aCRE",FALSE,TRUE,2.19818297090131,FALSE,""
"chr7_101293874_101294747",16,5.6866237106582,0.305785960525223,1,15,16,"aCRE,tCRE",TRUE,TRUE,5.99240967118342,FALSE,""
"chr7_20834527_20835736",16,1.65898630590091,1.07843757460282,2,6,8,"tCRE",TRUE,TRUE,2.73742388050372,FALSE,""
"chr8_101436581_101437691",16,1.72390990162494,1.21012823106428,4,4,4,"aCRE",FALSE,TRUE,2.93403813268923,FALSE,""
"chr8_144107010_144108900",16,3.16010091165401,0.421773029524668,1,13,16,"aCRE",FALSE,TRUE,3.58187394117868,FALSE,""
"chr1_153608752_153609775",15,0.917421722667267,0.828477250865754,3,5,5,"tCRE",TRUE,TRUE,1.74589897353302,FALSE,""
"chr1_156710863_156711810",15,0.600238709131548,1.7131158310927,5,3,3,"aCRE",FALSE,TRUE,2.31335454022424,FALSE,""
"chr1_161063468_161064772",15,0.975719581801089,0.844550346991582,3,5,5,"aCRE",FALSE,TRUE,1.82026992879267,FALSE,""
"chr12_110023052_110024047",15,0.378209646227886,1.96453285073244,5,3,3,"aCRE",TRUE,TRUE,2.34274249696033,FALSE,""
"chr12_6830668_6831556",15,2.47415734138292,0.371850915483847,1,15,15,"aCRE",FALSE,TRUE,2.84600825686677,FALSE,""
"chr14_50765956_50766900",15,0.981268013612136,0.81876627698419,3,5,5,"aCRE",FALSE,TRUE,1.80003429059633,FALSE,""
"chr15_45173841_45174761",15,2.04002142322277,0.861917875703587,3,5,5,"aCRE",FALSE,TRUE,2.90193929892636,FALSE,""
"chr17_7132382_7133465",15,2.41858703080735,0.565926068596974,1,15,15,"aCRE",FALSE,TRUE,2.98451309940432,FALSE,""
"chr17_7145914_7146852",15,3.19391507635742,0.314277632923605,1,14,15,"aCRE",FALSE,TRUE,3.50819270928102,FALSE,""
"chr17_7522736_7523638",15,3.70758258376853,0.357947362398868,1,14,15,"aCRE",TRUE,TRUE,4.06552994616739,FALSE,""
"chr17_79664896_79665806",15,0.954679172971273,0.798335622270867,3,2,5,"aCRE,tCRE",TRUE,TRUE,1.75301479524214,FALSE,""
"chr18_1099472_1100367",15,0.840586961194878,1.56083378521794,3,4,5,"aCRE",FALSE,TRUE,2.40142074641282,FALSE,""
"chr19_11227088_11228048",15,6.3992900415527,0.347477988564266,1,14,15,"aCRE",FALSE,TRUE,6.74676803011696,FALSE,""
"chr19_18364655_18365580",15,0.822833361520014,0.916362398439378,3,5,5,"aCRE",TRUE,TRUE,1.73919575995939,FALSE,""
"chr19_2380888_2381882",15,1.25272737072121,0.795642849120768,3,5,5,"aCRE",FALSE,TRUE,2.04837021984198,FALSE,""
"chr19_35038735_35039629",15,0.523911655358867,1.37614753536916,5,3,3,"aCRE",FALSE,TRUE,1.90005919072803,FALSE,""
"chr19_7482698_7483607",15,4.86474322176144,0.305389284381387,1,10,15,"aCRE,tCRE",TRUE,TRUE,5.17013250614283,FALSE,""
"chr2_64276274_64277138",15,2.89905935551946,1.33672732645889,3,5,5,"aCRE,tCRE",TRUE,TRUE,4.23578668197834,FALSE,""
"chr20_35305426_35306410",15,0.734803865130996,1.16572168487286,3,5,5,"aCRE",FALSE,TRUE,1.90052555000386,FALSE,""
"chr3_49458858_49460004",15,3.0462711285712,0.592950329395317,1,15,15,"aCRE",FALSE,TRUE,3.63922145796651,FALSE,""
"chr6_56853284_56854095",15,0.925224149936614,0.990810208152983,3,5,5,"aCRE",FALSE,TRUE,1.9160343580896,FALSE,""
"chr1_109959740_109960775",14,1.46852049358676,0.653495477768858,2,7,7,"aCRE",FALSE,TRUE,2.12201597135562,FALSE,""
"chr10_102333814_102334813",14,1.02144430644869,0.508852713916732,2,6,7,"aCRE",FALSE,TRUE,1.53029702036543,FALSE,""
"chr10_69375447_69376367",14,1.44681358581529,0.63359500955631,2,7,7,"aCRE",FALSE,TRUE,2.0804085953716,FALSE,""
"chr11_335489_336838",14,2.50857761324107,0.843150704039823,2,7,7,"aCRE",TRUE,TRUE,3.35172831728089,FALSE,""
"chr11_62908712_62909909",14,5.68650988935214,0.305971035546505,1,10,14,"aCRE,tCRE",TRUE,TRUE,5.99248092489865,FALSE,""
"chr12_132430037_132430963",14,0.290473850214365,7.05065988520996,14,1,1,"aCRE",FALSE,TRUE,7.34113373542433,FALSE,""
"chr15_66883072_66884064",14,2.11297917608653,0.648596974285284,2,7,7,"aCRE",TRUE,TRUE,2.76157615037181,FALSE,""
"chr16_1808867_1809886",14,2.94585509591288,0.251525455676569,1,13,14,"aCRE",FALSE,TRUE,3.19738055158945,FALSE,""
"chr16_58032028_58033475",14,1.99047975052846,0.660675043422005,2,6,7,"aCRE",TRUE,TRUE,2.65115479395046,FALSE,""
"chr17_44542918_44543820",14,1.44550876096098,0.588309878117268,2,7,7,"aCRE",TRUE,TRUE,2.03381863907825,FALSE,""
"chr17_48476913_48477888",14,1.19510217267911,0.517796381319039,2,6,7,"aCRE",TRUE,TRUE,1.71289855399815,FALSE,""
"chr17_76132263_76133198",14,1.44659073352603,0.550250463361368,2,6,7,"aCRE",TRUE,TRUE,1.99684119688739,FALSE,""
"chr19_788709_789988",14,2.66964642227204,0.306702525615999,1,12,14,"aCRE",TRUE,TRUE,2.97634894788804,FALSE,""
"chr19_42152064_42152889",14,1.6599609800553,0.764915331350512,2,6,7,"aCRE,tCRE",TRUE,TRUE,2.42487631140581,FALSE,""
"chr19_48859770_48860788",14,3.80272855345588,1.06840345841206,1,10,14,"aCRE,tCRE",TRUE,TRUE,4.87113201186794,FALSE,""
"chr19_53927463_53928400",14,1.08872490855777,0.542568746686828,2,5,7,"aCRE",FALSE,TRUE,1.6312936552446,FALSE,""
"chr19_8206406_8207245",14,1.34904000642652,0.610521376329271,2,5,7,"aCRE",FALSE,TRUE,1.95956138275579,FALSE,""
"chr2_11009589_11010528",14,0.406963551212831,2.32748833977027,7,2,2,"aCRE",FALSE,TRUE,2.7344518909831,FALSE,""
"chr2_208112069_208112667",14,2.17968201846038,0.881982258968869,2,6,7,"tCRE",TRUE,TRUE,3.06166427742925,FALSE,""
"chr20_31797116_31798060",14,1.40324593864505,0.663926162401282,2,6,7,"aCRE",TRUE,TRUE,2.06717210104633,FALSE,""
"chr3_55579227_55580155",14,0.286683563268003,2.44380316221927,7,2,2,"aCRE",FALSE,TRUE,2.73048672548727,FALSE,""
"chr5_136020182_136021032",14,0.430250391768345,2.57372668059219,7,2,2,"aCRE",FALSE,TRUE,3.00397707236054,FALSE,""
"chr5_88664360_88665155",14,1.80590701867519,0.640647988737468,2,5,7,"aCRE",FALSE,TRUE,2.44655500741266,FALSE,""
"chr6_30763836_30764805",14,1.28319469721477,0.582643349561474,2,7,7,"aCRE",TRUE,TRUE,1.86583804677624,FALSE,""
"chr7_150955454_150956442",14,1.31284223416611,0.747135536803438,2,7,7,"aCRE,tCRE",TRUE,TRUE,2.05997777096955,FALSE,""
"chr8_64269732_64270843",14,1.90179510106423,0.627794238860099,2,5,7,"aCRE",TRUE,TRUE,2.52958933992433,FALSE,""
"chr9_128875472_128876373",14,1.34363237717013,0.537294115933103,2,7,7,"aCRE",TRUE,TRUE,1.88092649310324,FALSE,""
"chr1_16026411_16027356",13,4.19652939585324,0.351831863185797,1,11,13,"aCRE",TRUE,TRUE,4.54836125903904,FALSE,""
"chr1_43284987_43286068",13,5.19082833777209,0.635481755996491,1,11,13,"aCRE,tCRE",TRUE,TRUE,5.82631009376858,FALSE,""
"chr11_62426276_62427238",13,2.61575310382534,0.765568663055769,1,11,13,"aCRE,tCRE",TRUE,TRUE,3.38132176688111,FALSE,""
"chr16_29784783_29785736",13,2.58327414527643,0.247801586190271,1,13,13,"aCRE,tCRE",TRUE,TRUE,2.8310757314667,FALSE,""
"chr16_30615085_30615992",13,2.92218760703436,0.55405037983685,1,12,13,"aCRE",FALSE,TRUE,3.47623798687121,FALSE,""
"chr16_56547087_56548123",13,3.10380584738242,0.460964025241172,1,12,13,"aCRE",FALSE,TRUE,3.56476987262359,FALSE,""
"chr18_2902984_2903878",13,0.159399203328739,6.44487424403795,13,1,1,"aCRE",FALSE,TRUE,6.60427344736669,FALSE,""
"chr19_18439201_18440069",13,2.17656572104294,0.320392235493765,1,11,13,"aCRE",FALSE,TRUE,2.49695795653671,FALSE,""
"chr9_129333908_129334889",13,3.54142663051719,0.3663152303021,1,10,13,"aCRE,tCRE",TRUE,TRUE,3.90774186081928,FALSE,""
"chr1_155598627_155600594",12,0.990136388494763,0.582842610164012,2,6,6,"aCRE",TRUE,TRUE,1.57297899865877,FALSE,""
"chr1_2135186_2136099",12,0.819181823746052,0.694789418663405,2,6,6,"aCRE",FALSE,TRUE,1.51397124240946,FALSE,""
"chr1_225898784_225899953",12,1.31242468266483,0.835860503111723,2,6,6,"aCRE",TRUE,TRUE,2.14828518577655,FALSE,""
"chr1_25927111_25928163",12,0.581079021916037,0.956138585796831,3,3,4,"aCRE",TRUE,TRUE,1.53721760771287,FALSE,""
"chr1_27006795_27007690",12,3.79364483550878,0.672429616671022,1,12,12,"aCRE",TRUE,TRUE,4.46607445217981,FALSE,""
"chr1_36365907_36366903",12,0.412124811778957,1.90960455870109,4,3,3,"aCRE",FALSE,TRUE,2.32172937048004,FALSE,""
"chr10_101451345_101452248",12,1.03872648343945,0.798353104593158,2,6,6,"aCRE",FALSE,TRUE,1.8370795880326,FALSE,""
"chr11_119460342_119461235",12,0.489793209776334,2.09066394641074,4,2,3,"aCRE",FALSE,TRUE,2.58045715618708,FALSE,""
"chr11_57214172_57215001",12,0.930357560945231,0.509194059251611,2,6,6,"aCRE",TRUE,TRUE,1.43955162019684,FALSE,""
"chr11_64729601_64730521",12,3.06400059884709,0.821774138313875,1,11,12,"aCRE,tCRE",TRUE,TRUE,3.88577473716096,FALSE,""
"chr11_65419798_65420618",12,1.05545257777993,0.562818682889944,2,6,6,"aCRE",TRUE,TRUE,1.61827126066987,FALSE,""
"chr12_110936780_110937739",12,1.26228764676768,0.55438647027489,2,6,6,"aCRE",FALSE,TRUE,1.81667411704257,FALSE,""
"chr12_49227447_49228291",12,4.02275005139879,0.327444165868777,1,12,12,"aCRE,tCRE",TRUE,TRUE,4.35019421726756,FALSE,""
"chr12_54392982_54393866",12,1.47100041538975,0.946531866039195,2,5,6,"aCRE,tCRE",TRUE,TRUE,2.41753228142894,FALSE,""
"chr12_55681119_55682061",12,1.86517635735138,0.521043040034887,2,6,6,"aCRE,tCRE",TRUE,TRUE,2.38621939738626,FALSE,""
"chr12_57250639_57251680",12,1.01403653748293,0.769741649470319,2,6,6,"aCRE,tCRE",TRUE,TRUE,1.78377818695325,FALSE,""
"chr12_57893434_57894392",12,1.06160584326412,1.14888363554156,3,4,4,"aCRE,tCRE",TRUE,TRUE,2.21048947880568,FALSE,""
"chr12_6214851_6215739",12,1.35462115030933,0.630185490453856,2,6,6,"aCRE",TRUE,TRUE,1.98480664076318,FALSE,""
"chr12_6716161_6717086",12,2.27665635071432,0.487930402665079,1,11,12,"aCRE",FALSE,TRUE,2.7645867533794,FALSE,""
"chr12_6885850_6886872",12,2.82267245820199,0.547938727151706,1,11,12,"aCRE",TRUE,TRUE,3.3706111853537,FALSE,""
"chr12_7090197_7091294",12,1.12905164704037,0.598313819728263,2,6,6,"tCRE",TRUE,TRUE,1.72736546676863,FALSE,""
"chr13_114119065_114120260",12,1.53723470201825,0.825710949225346,3,4,4,"aCRE",FALSE,TRUE,2.3629456512436,FALSE,""
"chr14_23511167_23512448",12,1.19632346326268,0.68760187305364,2,6,6,"aCRE",TRUE,TRUE,1.88392533631632,FALSE,""
"chr16_57846062_57846987",12,1.32838799127686,0.689396904650049,2,6,6,"aCRE,tCRE",TRUE,TRUE,2.01778489592691,FALSE,""
"chr16_67713360_67714267",12,0.987724460801606,0.647438285169124,2,6,6,"aCRE",FALSE,TRUE,1.63516274597073,FALSE,""
"chr17_1761559_1762453",12,0.637049125630284,1.47480486651615,4,3,3,"tCRE",TRUE,TRUE,2.11185399214643,FALSE,""
"chr17_49438175_49439340",12,1.15756447155642,0.905140846728903,3,4,4,"aCRE,tCRE",TRUE,TRUE,2.06270531828532,FALSE,""
"chr17_50266098_50266965",12,0.437689775288963,2.19425095900745,6,2,2,"aCRE",FALSE,TRUE,2.63194073429642,FALSE,""
"chr17_78365407_78366803",12,4.1107076654313,0.536396416029855,1,10,12,"aCRE,tCRE",TRUE,TRUE,4.64710408146115,FALSE,""
"chr17_81310588_81311539",12,1.35432379258031,0.783680801578965,2,6,6,"aCRE",FALSE,TRUE,2.13800459415927,FALSE,""
"chr19_17706443_17707355",12,2.00919445193165,0.274188956819294,1,10,12,"aCRE",FALSE,TRUE,2.28338340875094,FALSE,""
"chr19_2384799_2385876",12,2.06318205906435,0.509150437343623,1,10,12,"aCRE",FALSE,TRUE,2.57233249640797,FALSE,""
"chr19_21402145_21403057",12,1.30970373554637,0.761212948993992,2,6,6,"aCRE",FALSE,TRUE,2.07091668454037,FALSE,""
"chr19_3612639_3613535",12,2.73971952201999,0.310824622233164,1,8,12,"aCRE",FALSE,TRUE,3.05054414425316,FALSE,""
"chr19_35903343_35904262",12,1.91863101055529,0.497114023337751,1,11,12,"aCRE",TRUE,TRUE,2.41574503389304,FALSE,""
"chr19_39482874_39483765",12,1.24841452688916,0.888985294971102,2,6,6,"aCRE",FALSE,TRUE,2.13739982186026,FALSE,""
"chr19_4408883_4409796",12,3.44073651779367,0.273853834263507,1,8,12,"aCRE",TRUE,TRUE,3.71459035205718,FALSE,""
"chr19_40791068_40791970",12,2.03949681756411,0.500248497634115,2,6,6,"aCRE",TRUE,TRUE,2.53974531519822,FALSE,""
"chr19_4393626_4394659",12,1.20985675524844,0.516193442813851,2,6,6,"aCRE",FALSE,TRUE,1.72605019806229,FALSE,""
"chr19_47619537_47621116",12,2.14492228250279,0.509265502832263,1,9,12,"aCRE",FALSE,TRUE,2.65418778533505,FALSE,""
"chr19_48192485_48193416",12,1.53089925255957,0.688524995781839,2,6,6,"aCRE",FALSE,TRUE,2.21942424834141,FALSE,""
"chr19_48462045_48462924",12,2.23637053474327,0.440397241714759,1,9,12,"aCRE",TRUE,TRUE,2.67676777645802,FALSE,""
"chr2_69776989_69777908",12,1.04376098416795,0.697653547791422,2,6,6,"aCRE",FALSE,TRUE,1.74141453195937,FALSE,""
"chr2_74181408_74182472",12,0.494776008880783,1.47186162357975,4,3,3,"aCRE",FALSE,TRUE,1.96663763246054,FALSE,""
"chr2_98533221_98534085",12,0.663685273922677,0.851454277466091,3,4,4,"aCRE",FALSE,TRUE,1.51513955138877,FALSE,""
"chr20_17636366_17637258",12,2.33565422715865,0.87088475876449,3,4,4,"aCRE,tCRE",TRUE,TRUE,3.20653898592314,FALSE,""
"chr20_44738462_44739461",12,4.34032233941987,0.246254316452179,1,10,12,"tCRE",TRUE,TRUE,4.58657665587205,FALSE,""
"chr20_63029299_63030386",12,0.607044409017176,1.38333450172728,4,3,3,"aCRE",FALSE,TRUE,1.99037891074446,FALSE,""
"chr21_32604046_32605174",12,0.765756827918081,1.48773618599611,4,3,3,"tCRE",TRUE,TRUE,2.25349301391419,FALSE,""
"chr3_101940191_101941306",12,0.297329646525544,2.28843618204342,6,2,2,"aCRE",FALSE,TRUE,2.58576582856897,FALSE,""
"chr3_16669990_16670866",12,1.3421109623006,1.22933317289071,3,4,4,"aCRE,tCRE",TRUE,TRUE,2.57144413519131,FALSE,""
"chr3_52834620_52835698",12,1.81529281467656,0.773637192862757,2,6,6,"aCRE,tCRE",TRUE,TRUE,2.58893000753931,FALSE,""
"chr4_112377123_112378095",12,0.929847005608924,1.4003653555674,4,3,3,"aCRE,tCRE",TRUE,TRUE,2.33021236117632,FALSE,""
"chr5_177336578_177337477",12,2.18626865408447,0.697929145024987,1,10,12,"aCRE",TRUE,TRUE,2.88419779910945,FALSE,""
"chr5_77620081_77621039",12,1.21917669973764,0.675539747736456,2,3,6,"aCRE",FALSE,TRUE,1.89471644747409,FALSE,""
"chr5_77750819_77752262",12,1.226271671847,0.621939353544593,2,2,6,"aCRE",FALSE,TRUE,1.84821102539159,FALSE,""
"chr6_10582707_10583673",12,1.77294903381872,0.624450127731762,2,6,6,"aCRE",TRUE,TRUE,2.39739916155048,FALSE,""
"chr6_31945309_31946378",12,4.0521804150212,0.40505875979905,1,12,12,"aCRE,tCRE",TRUE,TRUE,4.45723917482025,FALSE,""
