"enhancer","TF","promoter","promoter_measurement_type","tf_prom_id","new_route","gene"
"chr10_21806860_21807816","EBF1","chr10_21517900_21519309","tCRE","EBF1__chr10_21517900_21519309",TRUE,"SKIDA1"
"chr10_21806860_21807816","POU5F1","chr10_22003255_22004144","aCRE","POU5F1__chr10_22003255_22004144",TRUE,"DNAJC1"
"chr10_21806860_21807816","POU5F1","chr10_22003255_22004144","tCRE","POU5F1__chr10_22003255_22004144",TRUE,"DNAJC1"
"chr10_21806860_21807816","POU5F1","chr10_21517900_21519309","tCRE","POU5F1__chr10_21517900_21519309",TRUE,"SKIDA1"
"chr10_21928881_21929704","MSX1","chr10_21519863_21520680","tCRE","MSX1__chr10_21519863_21520680",TRUE,"ONTG10000000843.1"
"chr10_21928881_21929704","MSX1","chr10_21496748_21497827","tCRE","MSX1__chr10_21496748_21497827",TRUE,"MIR1915HG"
"chr10_21928881_21929704","MSX1","chr10_22003255_22004144","tCRE","MSX1__chr10_22003255_22004144",TRUE,"DNAJC1"
"chr10_24117826_24118836","NR4A2","chr10_24208601_24209828","tCRE","NR4A2__chr10_24208601_24209828",FALSE,"KIAA1217"
"chr10_24254873_24255759","ETV4","chr10_23826156_23827077","aCRE","ETV4__chr10_23826156_23827077",TRUE,NA
"chr10_29634475_29635380","XBP1","chr10_29632980_29634032","aCRE","XBP1__chr10_29632980_29634032",TRUE,NA
"chr10_29634475_29635380","XBP1","chr10_29735416_29736316","tCRE","XBP1__chr10_29735416_29736316",TRUE,"SVIL"
"chr10_29634475_29635380","HMGA1","chr10_29632980_29634032","aCRE","HMGA1__chr10_29632980_29634032",TRUE,NA
"chr10_29634475_29635380","HMGA1","chr10_29735416_29736316","tCRE","HMGA1__chr10_29735416_29736316",TRUE,"SVIL"
"chr10_29634475_29635380","THRA","chr10_29632980_29634032","aCRE","THRA__chr10_29632980_29634032",TRUE,NA
"chr10_29634475_29635380","THRA","chr10_29735416_29736316","tCRE","THRA__chr10_29735416_29736316",TRUE,"SVIL"
"chr10_29634475_29635380","MEF2C","chr10_29632980_29634032","aCRE","MEF2C__chr10_29632980_29634032",TRUE,NA
"chr10_29634475_29635380","MEF2C","chr10_29735416_29736316","tCRE","MEF2C__chr10_29735416_29736316",TRUE,"SVIL"
"chr10_29634475_29635380","SIX1","chr10_29632980_29634032","aCRE","SIX1__chr10_29632980_29634032",TRUE,NA
"chr10_29634475_29635380","SIX1","chr10_29735416_29736316","tCRE","SIX1__chr10_29735416_29736316",TRUE,"SVIL"
"chr10_29728295_29729368","SHOX2","chr10_29735416_29736316","tCRE","SHOX2__chr10_29735416_29736316",FALSE,"SVIL"
"chr10_29728295_29729368","NEUROD1","chr10_29735416_29736316","tCRE","NEUROD1__chr10_29735416_29736316",TRUE,"SVIL"
"chr10_3046841_3047622","ZIC1","chr10_3067064_3067826","tCRE","ZIC1__chr10_3067064_3067826",TRUE,"PFKP"
"chr10_3046841_3047622","RBPJ","chr10_3067064_3067826","tCRE","RBPJ__chr10_3067064_3067826",TRUE,"PFKP"
"chr10_44293175_44293858","NR2F6","chr10_44384577_44385588","tCRE","NR2F6__chr10_44384577_44385588",TRUE,"CXCL12"
"chr10_53492601_53493509","TEAD4","chr10_53504137_53505007","tCRE","TEAD4__chr10_53504137_53505007",TRUE,"ONTG10000001567.1"
"chr10_6797057_6797842","TEAD4","chr10_6579900_6580853","tCRE","TEAD4__chr10_6579900_6580853",TRUE,"PRKCQ-AS1"
"chr10_6797057_6797842","TEAD4","chr10_6802413_6803237","aCRE","TEAD4__chr10_6802413_6803237",TRUE,"ONTG10000001083.1"
"chr10_6797057_6797842","TEAD4","chr10_6802413_6803237","tCRE","TEAD4__chr10_6802413_6803237",TRUE,"ONTG10000001083.1"
"chr10_75106054_75106964","POU5F1","chr10_75233915_75234808","aCRE","POU5F1__chr10_75233915_75234808",TRUE,"ONTG10000001046.1"
"chr10_75106054_75106964","POU5F1","chr10_75043222_75044179","aCRE","POU5F1__chr10_75043222_75044179",TRUE,"ONTG10000000652.1"
"chr10_84424479_84425501","RBPJ","chr10_84194065_84195067","tCRE","RBPJ__chr10_84194065_84195067",TRUE,"CDHR1"
"chr10_84424479_84425501","RBPJ","chr10_84224380_84226102","aCRE","RBPJ__chr10_84224380_84226102",TRUE,"LRIT2"
"chr10_84424479_84425501","EBF2","chr10_84194065_84195067","tCRE","EBF2__chr10_84194065_84195067",TRUE,"CDHR1"
"chr10_84424479_84425501","EBF2","chr10_84224380_84226102","aCRE","EBF2__chr10_84224380_84226102",TRUE,"LRIT2"
"chr10_89327687_89328737","GLIS3","chr10_89392095_89392978","aCRE","GLIS3__chr10_89392095_89392978",TRUE,"IFIT1"
"chr11_103183860_103184852","EBF1","chr11_103108993_103109872","tCRE","EBF1__chr11_103108993_103109872",TRUE,"DYNC2H1"
"chr11_103183860_103184852","EBF1","chr11_103091731_103092584","tCRE","EBF1__chr11_103091731_103092584",TRUE,"DCUN1D5"
"chr11_103183860_103184852","HMGA1","chr11_103108993_103109872","tCRE","HMGA1__chr11_103108993_103109872",TRUE,"DYNC2H1"
"chr11_103183860_103184852","HMGA1","chr11_103091731_103092584","tCRE","HMGA1__chr11_103091731_103092584",TRUE,"DCUN1D5"
"chr11_103183860_103184852","EBF2","chr11_103108993_103109872","tCRE","EBF2__chr11_103108993_103109872",TRUE,"DYNC2H1"
"chr11_103183860_103184852","EBF2","chr11_103091731_103092584","tCRE","EBF2__chr11_103091731_103092584",TRUE,"DCUN1D5"
"chr11_103183860_103184852","TCF7L1","chr11_103108993_103109872","tCRE","TCF7L1__chr11_103108993_103109872",FALSE,"DYNC2H1"
"chr11_103183860_103184852","TCF7L1","chr11_103091731_103092584","tCRE","TCF7L1__chr11_103091731_103092584",FALSE,"DCUN1D5"
"chr11_110130374_110131297","SHOX2","chr11_110131612_110132400","tCRE","SHOX2__chr11_110131612_110132400",TRUE,"ONTG11000001445.1"
"chr11_111814226_111815139","POU2F2","chr11_111878723_111879686","tCRE","POU2F2__chr11_111878723_111879686",TRUE,"C11ORF1"
"chr11_111814226_111815139","NEUROG1","chr11_111878723_111879686","tCRE","NEUROG1__chr11_111878723_111879686",TRUE,"C11ORF1"
"chr11_111923159_111924084","SNAI2","chr11_111926628_111927577","tCRE","SNAI2__chr11_111926628_111927577",TRUE,"DIXDC1"
"chr11_113974732_113975647","NANOG","chr11_114078230_114078939","aCRE","NANOG__chr11_114078230_114078939",TRUE,NA
"chr11_113974732_113975647","NANOG","chr11_113875185_113876127","tCRE","NANOG__chr11_113875185_113876127",TRUE,"USP28"
"chr11_113974732_113975647","SP8","chr11_114078230_114078939","aCRE","SP8__chr11_114078230_114078939",TRUE,NA
"chr11_113974732_113975647","SP8","chr11_113875185_113876127","tCRE","SP8__chr11_113875185_113876127",FALSE,"USP28"
"chr11_114257479_114258536","INSM1","chr11_114059140_114060072","tCRE","INSM1__chr11_114059140_114060072",TRUE,"ZBTB16"
"chr11_116837338_116838379","TEAD1","chr11_117143797_117144761","tCRE","TEAD1__chr11_117143797_117144761",TRUE,"PAFAH1B2"
"chr11_116837338_116838379","TEAD1","chr11_117198831_117199795","tCRE","TEAD1__chr11_117198831_117199795",TRUE,"TAGLN"
"chr11_116837338_116838379","TEAD1","chr11_117198831_117199795","aCRE","TEAD1__chr11_117198831_117199795",TRUE,"TAGLN"
"chr11_116837338_116838379","NR2F1","chr11_117143797_117144761","tCRE","NR2F1__chr11_117143797_117144761",TRUE,"PAFAH1B2"
"chr11_116837338_116838379","NR2F1","chr11_117198831_117199795","tCRE","NR2F1__chr11_117198831_117199795",TRUE,"TAGLN"
"chr11_116837338_116838379","NR2F1","chr11_117198831_117199795","aCRE","NR2F1__chr11_117198831_117199795",TRUE,"TAGLN"
"chr11_116837338_116838379","NR2F6","chr11_117143797_117144761","tCRE","NR2F6__chr11_117143797_117144761",TRUE,"PAFAH1B2"
"chr11_116837338_116838379","NR2F6","chr11_117198831_117199795","tCRE","NR2F6__chr11_117198831_117199795",TRUE,"TAGLN"
"chr11_116837338_116838379","NR2F6","chr11_117198831_117199795","aCRE","NR2F6__chr11_117198831_117199795",TRUE,"TAGLN"
"chr11_116837338_116838379","TEAD4","chr11_117143797_117144761","tCRE","TEAD4__chr11_117143797_117144761",TRUE,"PAFAH1B2"
"chr11_116837338_116838379","TEAD4","chr11_117198831_117199795","tCRE","TEAD4__chr11_117198831_117199795",TRUE,"TAGLN"
"chr11_116837338_116838379","TEAD4","chr11_117198831_117199795","aCRE","TEAD4__chr11_117198831_117199795",TRUE,"TAGLN"
"chr11_119195438_119196297","SP8","chr11_119205665_119206605","tCRE","SP8__chr11_119205665_119206605",FALSE,"CBL"
"chr11_121198245_121199147","FOXH1","chr11_121451813_121452767","tCRE","FOXH1__chr11_121451813_121452767",TRUE,"SORL1"
"chr11_123509397_123510315","JUND","chr11_123194594_123195617","tCRE","JUND__chr11_123194594_123195617",TRUE,"CLMP"
"chr11_123509397_123510315","JUND","chr11_123061969_123062886","tCRE","JUND__chr11_123061969_123062886",TRUE,"HSPA8"
"chr11_123509397_123510315","JUND","chr11_123654238_123655120","tCRE","JUND__chr11_123654238_123655120",TRUE,"SCN3B"
"chr11_125452455_125453308","TCF7L1","chr11_125451084_125452032","tCRE","TCF7L1__chr11_125451084_125452032",TRUE,"FEZ1"
"chr11_125452455_125453308","TCF7L1","chr11_125451084_125452032","aCRE","TCF7L1__chr11_125451084_125452032",TRUE,"FEZ1"
"chr11_125452455_125453308","PRDM4","chr11_125451084_125452032","tCRE","PRDM4__chr11_125451084_125452032",TRUE,"FEZ1"
"chr11_125452455_125453308","PRDM4","chr11_125451084_125452032","aCRE","PRDM4__chr11_125451084_125452032",TRUE,"FEZ1"
"chr11_13439771_13440763","PBX3","chr11_13462771_13463675","tCRE","PBX3__chr11_13462771_13463675",TRUE,"BTBD10"
"chr11_13439771_13440763","PBX3","chr11_13668041_13668962","aCRE","PBX3__chr11_13668041_13668962",TRUE,"FAR1"
"chr11_1351305_1352191","SP8","chr11_1309244_1310167","tCRE","SP8__chr11_1309244_1310167",TRUE,"TOLLIP"
"chr11_1351305_1352191","SP8","chr11_1336176_1337191","aCRE","SP8__chr11_1336176_1337191",TRUE,"ENSG00000287935.1"
"chr11_1351305_1352191","NR2F6","chr11_1309244_1310167","tCRE","NR2F6__chr11_1309244_1310167",TRUE,"TOLLIP"
"chr11_1351305_1352191","NR2F6","chr11_1336176_1337191","aCRE","NR2F6__chr11_1336176_1337191",TRUE,"ENSG00000287935.1"
"chr11_14340470_14341407","POU5F1","chr11_14499349_14500259","tCRE","POU5F1__chr11_14499349_14500259",FALSE,"COPB1"
"chr11_14340470_14341407","POU5F1","chr11_14358273_14359430","tCRE","POU5F1__chr11_14358273_14359430",FALSE,"RRAS2"
"chr11_1441897_1442839","JUND","chr11_1570650_1571404","aCRE","JUND__chr11_1570650_1571404",TRUE,"ONTG11000000965.1"
"chr11_1441897_1442839","JUND","chr11_1571870_1572828","tCRE","JUND__chr11_1571870_1572828",TRUE,"DUSP8"
"chr11_1441897_1442839","JUND","chr11_1390747_1391668","aCRE","JUND__chr11_1390747_1391668",TRUE,"ONTG11000001681.1"
"chr11_1441897_1442839","JUND","chr11_1564219_1565169","aCRE","JUND__chr11_1564219_1565169",TRUE,"ONTG11000001799.1"
"chr11_1441897_1442839","MEIS1","chr11_1570650_1571404","aCRE","MEIS1__chr11_1570650_1571404",TRUE,"ONTG11000000965.1"
"chr11_1441897_1442839","MEIS1","chr11_1571870_1572828","tCRE","MEIS1__chr11_1571870_1572828",TRUE,"DUSP8"
"chr11_1441897_1442839","MEIS1","chr11_1390747_1391668","aCRE","MEIS1__chr11_1390747_1391668",TRUE,"ONTG11000001681.1"
"chr11_1441897_1442839","MEIS1","chr11_1564219_1565169","aCRE","MEIS1__chr11_1564219_1565169",TRUE,"ONTG11000001799.1"
"chr11_27628864_27629748","SP8","chr11_27506320_27507230","tCRE","SP8__chr11_27506320_27507230",FALSE,"LIN7C"
"chr11_27628864_27629748","TEAD4","chr11_27506320_27507230","tCRE","TEAD4__chr11_27506320_27507230",TRUE,"LIN7C"
"chr11_27634289_27635138","SP8","chr11_27506320_27507230","tCRE","SP8__chr11_27506320_27507230",FALSE,"LIN7C"
"chr11_27634289_27635138","SP8","chr11_27700343_27701322","tCRE","SP8__chr11_27700343_27701322",TRUE,"BDNF"
"chr11_27634289_27635138","SP8","chr11_27718257_27719113","aCRE","SP8__chr11_27718257_27719113",TRUE,"ONTG11000000183.1"
"chr11_27634289_27635138","SP8","chr11_27796040_27797089","aCRE","SP8__chr11_27796040_27797089",FALSE,NA
"chr11_27634289_27635138","MSX1","chr11_27506320_27507230","tCRE","MSX1__chr11_27506320_27507230",TRUE,"LIN7C"
"chr11_27634289_27635138","MSX1","chr11_27700343_27701322","tCRE","MSX1__chr11_27700343_27701322",TRUE,"BDNF"
"chr11_27634289_27635138","MSX1","chr11_27718257_27719113","aCRE","MSX1__chr11_27718257_27719113",TRUE,"ONTG11000000183.1"
"chr11_27634289_27635138","MSX1","chr11_27796040_27797089","aCRE","MSX1__chr11_27796040_27797089",TRUE,NA
"chr11_31321076_31321966","KLF7","chr11_31805720_31806496","aCRE","KLF7__chr11_31805720_31806496",TRUE,"PAX6"
"chr11_3188921_3189974","SP8","chr11_2868686_2870295","aCRE","SP8__chr11_2868686_2870295",FALSE,"KCNQ1DN"
"chr11_3188921_3189974","POU5F1","chr11_2868686_2870295","aCRE","POU5F1__chr11_2868686_2870295",TRUE,"KCNQ1DN"
"chr11_3580755_3581664","ZEB1","chr11_3807924_3808872","tCRE","ZEB1__chr11_3807924_3808872",TRUE,"PGAP2"
"chr11_3580755_3581664","ZEB1","chr11_3641781_3642715","aCRE","ZEB1__chr11_3641781_3642715",TRUE,"ART5"
"chr11_3580755_3581664","ZEB1","chr11_3641781_3642715","tCRE","ZEB1__chr11_3641781_3642715",TRUE,"ART5"
"chr11_3580755_3581664","NR2F1","chr11_3807924_3808872","tCRE","NR2F1__chr11_3807924_3808872",TRUE,"PGAP2"
"chr11_3580755_3581664","NR2F1","chr11_3641781_3642715","aCRE","NR2F1__chr11_3641781_3642715",TRUE,"ART5"
"chr11_3580755_3581664","NR2F1","chr11_3641781_3642715","tCRE","NR2F1__chr11_3641781_3642715",TRUE,"ART5"
"chr11_393764_394627","FOXO1","chr11_406825_407740","aCRE","FOXO1__chr11_406825_407740",TRUE,"SIGIRR"
"chr11_393764_394627","FOXO1","chr11_416567_417770","tCRE","FOXO1__chr11_416567_417770",TRUE,"SIGIRR"
"chr11_393764_394627","FOXO1","chr11_568089_569046","tCRE","FOXO1__chr11_568089_569046",TRUE,"MIR210HG"
"chr11_393764_394627","FOXO1","chr11_406825_407740","tCRE","FOXO1__chr11_406825_407740",TRUE,"SIGIRR"
"chr11_393764_394627","FOXO1","chr11_313432_314596","tCRE","FOXO1__chr11_313432_314596",TRUE,"IFITM1"
"chr11_393764_394627","FOXO1","chr11_506658_507565","tCRE","FOXO1__chr11_506658_507565",TRUE,"RNH1"
"chr11_393764_394627","FOXO1","chr11_208452_209252","tCRE","FOXO1__chr11_208452_209252",TRUE,"RIC8A"
"chr11_393764_394627","FOXO1","chr11_636708_637623","aCRE","FOXO1__chr11_636708_637623",TRUE,"DRD4"
"chr11_45511291_45512202","NEUROD1","chr11_45664561_45665884","tCRE","NEUROD1__chr11_45664561_45665884",TRUE,"CHST1"
"chr11_58927119_58928030","SP8","chr11_58578594_58579375","aCRE","SP8__chr11_58578594_58579375",FALSE,"ZFP91"
"chr11_58927119_58928030","SP8","chr11_59142337_59143382","tCRE","SP8__chr11_59142337_59143382",FALSE,"FAM111A-DT"
"chr11_58927119_58928030","SP8","chr11_59144304_59145317","aCRE","SP8__chr11_59144304_59145317",FALSE,"FAM111A"
"chr11_58927119_58928030","SP8","chr11_59144304_59145317","tCRE","SP8__chr11_59144304_59145317",FALSE,"FAM111A"
"chr11_59815482_59816460","SOX15","chr11_59615580_59616562","aCRE","SOX15__chr11_59615580_59616562",TRUE,"OSBP"
"chr11_59815482_59816460","SOX15","chr11_59810303_59811213","tCRE","SOX15__chr11_59810303_59811213",TRUE,"MRPL16"
"chr11_59815482_59816460","SOX15","chr11_59754951_59756001","tCRE","SOX15__chr11_59754951_59756001",TRUE,"STX3"
"chr11_59815482_59816460","SOX15","chr11_59668644_59669652","aCRE","SOX15__chr11_59668644_59669652",TRUE,"PATL1"
"chr11_59815482_59816460","POU5F1","chr11_59615580_59616562","aCRE","POU5F1__chr11_59615580_59616562",TRUE,"OSBP"
"chr11_59815482_59816460","POU5F1","chr11_59810303_59811213","tCRE","POU5F1__chr11_59810303_59811213",TRUE,"MRPL16"
"chr11_59815482_59816460","POU5F1","chr11_59754951_59756001","tCRE","POU5F1__chr11_59754951_59756001",TRUE,"STX3"
"chr11_59815482_59816460","POU5F1","chr11_59668644_59669652","aCRE","POU5F1__chr11_59668644_59669652",TRUE,"PATL1"
"chr11_59815482_59816460","SOX3","chr11_59615580_59616562","aCRE","SOX3__chr11_59615580_59616562",TRUE,"OSBP"
"chr11_59815482_59816460","SOX3","chr11_59810303_59811213","tCRE","SOX3__chr11_59810303_59811213",TRUE,"MRPL16"
"chr11_59815482_59816460","SOX3","chr11_59754951_59756001","tCRE","SOX3__chr11_59754951_59756001",TRUE,"STX3"
"chr11_59815482_59816460","SOX3","chr11_59668644_59669652","aCRE","SOX3__chr11_59668644_59669652",TRUE,"PATL1"
"chr11_61344852_61345774","NHLH1","chr11_61392132_61393072","tCRE","NHLH1__chr11_61392132_61393072",TRUE,"TMEM216"
"chr11_61344852_61345774","NEUROD2","chr11_61392132_61393072","tCRE","NEUROD2__chr11_61392132_61393072",TRUE,"TMEM216"
"chr11_61344852_61345774","HAND1","chr11_61392132_61393072","tCRE","HAND1__chr11_61392132_61393072",TRUE,"TMEM216"
"chr11_61344852_61345774","INSM1","chr11_61392132_61393072","tCRE","INSM1__chr11_61392132_61393072",TRUE,"TMEM216"
"chr11_62426276_62427238","FOSL2","chr11_62611390_62612104","tCRE","FOSL2__chr11_62611390_62612104",TRUE,"ROM1"
"chr11_62426276_62427238","MAF","chr11_62611390_62612104","tCRE","MAF__chr11_62611390_62612104",TRUE,"ROM1"
"chr11_62504912_62506027","NFYB","chr11_62888767_62890599","aCRE","NFYB__chr11_62888767_62890599",TRUE,"ONTG11000000759.1"
"chr11_62504912_62506027","NFYB","chr11_62727171_62727953","tCRE","NFYB__chr11_62727171_62727953",TRUE,"HNRNPUL2"
"chr11_62504912_62506027","NFYB","chr11_62646221_62647104","tCRE","NFYB__chr11_62646221_62647104",TRUE,"GANAB"
"chr11_62504912_62506027","NFYB","chr11_62552985_62553941","aCRE","NFYB__chr11_62552985_62553941",TRUE,NA
"chr11_62504912_62506027","NFYB","chr11_62508194_62509137","aCRE","NFYB__chr11_62508194_62509137",TRUE,"ONTG11000000751.1"
"chr11_62504912_62506027","NFYB","chr11_62560258_62561189","tCRE","NFYB__chr11_62560258_62561189",TRUE,NA
"chr11_62504912_62506027","NFYB","chr11_62546538_62547365","tCRE","NFYB__chr11_62546538_62547365",TRUE,"AHNAK"
"chr11_62504912_62506027","NFYB","chr11_62761061_62761972","tCRE","NFYB__chr11_62761061_62761972",TRUE,"POLR2G"
"chr11_62504912_62506027","INSM1","chr11_62888767_62890599","aCRE","INSM1__chr11_62888767_62890599",TRUE,"ONTG11000000759.1"
"chr11_62504912_62506027","INSM1","chr11_62727171_62727953","tCRE","INSM1__chr11_62727171_62727953",TRUE,"HNRNPUL2"
"chr11_62504912_62506027","INSM1","chr11_62646221_62647104","tCRE","INSM1__chr11_62646221_62647104",TRUE,"GANAB"
"chr11_62504912_62506027","INSM1","chr11_62552985_62553941","aCRE","INSM1__chr11_62552985_62553941",TRUE,NA
"chr11_62504912_62506027","INSM1","chr11_62508194_62509137","aCRE","INSM1__chr11_62508194_62509137",TRUE,"ONTG11000000751.1"
"chr11_62504912_62506027","INSM1","chr11_62560258_62561189","tCRE","INSM1__chr11_62560258_62561189",TRUE,NA
"chr11_62504912_62506027","INSM1","chr11_62546538_62547365","tCRE","INSM1__chr11_62546538_62547365",TRUE,"AHNAK"
"chr11_62504912_62506027","INSM1","chr11_62761061_62761972","tCRE","INSM1__chr11_62761061_62761972",TRUE,"POLR2G"
"chr11_62504912_62506027","NR2F1","chr11_62888767_62890599","aCRE","NR2F1__chr11_62888767_62890599",TRUE,"ONTG11000000759.1"
"chr11_62504912_62506027","NR2F1","chr11_62727171_62727953","tCRE","NR2F1__chr11_62727171_62727953",TRUE,"HNRNPUL2"
"chr11_62504912_62506027","NR2F1","chr11_62646221_62647104","tCRE","NR2F1__chr11_62646221_62647104",TRUE,"GANAB"
"chr11_62504912_62506027","NR2F1","chr11_62552985_62553941","aCRE","NR2F1__chr11_62552985_62553941",TRUE,NA
"chr11_62504912_62506027","NR2F1","chr11_62508194_62509137","aCRE","NR2F1__chr11_62508194_62509137",TRUE,"ONTG11000000751.1"
"chr11_62504912_62506027","NR2F1","chr11_62560258_62561189","tCRE","NR2F1__chr11_62560258_62561189",TRUE,NA
"chr11_62504912_62506027","NR2F1","chr11_62546538_62547365","tCRE","NR2F1__chr11_62546538_62547365",TRUE,"AHNAK"
"chr11_62504912_62506027","NR2F1","chr11_62761061_62761972","tCRE","NR2F1__chr11_62761061_62761972",TRUE,"POLR2G"
"chr11_62504912_62506027","MEIS3","chr11_62888767_62890599","aCRE","MEIS3__chr11_62888767_62890599",TRUE,"ONTG11000000759.1"
"chr11_62504912_62506027","MEIS3","chr11_62727171_62727953","tCRE","MEIS3__chr11_62727171_62727953",TRUE,"HNRNPUL2"
"chr11_62504912_62506027","MEIS3","chr11_62646221_62647104","tCRE","MEIS3__chr11_62646221_62647104",TRUE,"GANAB"
"chr11_62504912_62506027","MEIS3","chr11_62552985_62553941","aCRE","MEIS3__chr11_62552985_62553941",TRUE,NA
"chr11_62504912_62506027","MEIS3","chr11_62508194_62509137","aCRE","MEIS3__chr11_62508194_62509137",TRUE,"ONTG11000000751.1"
"chr11_62504912_62506027","MEIS3","chr11_62560258_62561189","tCRE","MEIS3__chr11_62560258_62561189",TRUE,NA
"chr11_62504912_62506027","MEIS3","chr11_62546538_62547365","tCRE","MEIS3__chr11_62546538_62547365",TRUE,"AHNAK"
"chr11_62504912_62506027","MEIS3","chr11_62761061_62761972","tCRE","MEIS3__chr11_62761061_62761972",TRUE,"POLR2G"
"chr11_626571_627533","NR6A1","chr11_746881_747788","tCRE","NR6A1__chr11_746881_747788",TRUE,"TALDO1"
"chr11_626571_627533","NR6A1","chr11_720412_721342","aCRE","NR6A1__chr11_720412_721342",TRUE,"EPS8L2"
"chr11_626571_627533","NR6A1","chr11_636708_637623","tCRE","NR6A1__chr11_636708_637623",TRUE,"DRD4"
"chr11_626571_627533","NR6A1","chr11_777001_777902","tCRE","NR6A1__chr11_777001_777902",TRUE,"GATD1"
"chr11_626571_627533","NR6A1","chr11_506658_507565","tCRE","NR6A1__chr11_506658_507565",TRUE,"RNH1"
"chr11_626571_627533","NR6A1","chr11_568089_569046","tCRE","NR6A1__chr11_568089_569046",TRUE,"MIR210HG"
"chr11_626571_627533","NR6A1","chr11_829876_830850","tCRE","NR6A1__chr11_829876_830850",TRUE,"CRACR2B"
"chr11_626571_627533","NR6A1","chr11_636708_637623","aCRE","NR6A1__chr11_636708_637623",TRUE,"DRD4"
"chr11_626571_627533","NR6A1","chr11_725710_726786","tCRE","NR6A1__chr11_725710_726786",TRUE,"EPS8L2"
"chr11_626571_627533","NR6A1","chr11_809216_810199","tCRE","NR6A1__chr11_809216_810199",TRUE,"RPLP2"
"chr11_626571_627533","ESRRG","chr11_746881_747788","tCRE","ESRRG__chr11_746881_747788",TRUE,"TALDO1"
"chr11_626571_627533","ESRRG","chr11_720412_721342","aCRE","ESRRG__chr11_720412_721342",TRUE,"EPS8L2"
"chr11_626571_627533","ESRRG","chr11_636708_637623","tCRE","ESRRG__chr11_636708_637623",TRUE,"DRD4"
"chr11_626571_627533","ESRRG","chr11_777001_777902","tCRE","ESRRG__chr11_777001_777902",TRUE,"GATD1"
"chr11_626571_627533","ESRRG","chr11_506658_507565","tCRE","ESRRG__chr11_506658_507565",TRUE,"RNH1"
"chr11_626571_627533","ESRRG","chr11_568089_569046","tCRE","ESRRG__chr11_568089_569046",TRUE,"MIR210HG"
"chr11_626571_627533","ESRRG","chr11_829876_830850","tCRE","ESRRG__chr11_829876_830850",TRUE,"CRACR2B"
"chr11_626571_627533","ESRRG","chr11_636708_637623","aCRE","ESRRG__chr11_636708_637623",TRUE,"DRD4"
"chr11_626571_627533","ESRRG","chr11_725710_726786","tCRE","ESRRG__chr11_725710_726786",TRUE,"EPS8L2"
"chr11_626571_627533","ESRRG","chr11_809216_810199","tCRE","ESRRG__chr11_809216_810199",TRUE,"RPLP2"
